ami,income1,income2,income3,income4,income5,income6,income7,income8,rent0,rent1,rent2,rent3,rent4,rent5,buy1,buy2,buy3,buy4,buy5
0.3,23450,26800,30150,33500,37650,43150,48650,54150,586,628,753,889,1078,1285,74500,90000,106500,130000,154500
0.5,39100,44650,50520,55850,60300,64800,69250,73750,977,1046,1263,1451,1620,1787,126000,152000,175000,196000,216000
0.55,43010,49115,55572,61435,66330,71280,76175,81125,1075,1151,1389,1597,1782,1966,138500,167500,193000,215500,238000
0.6,46920,53580,60624,67020,72360,77760,83100,88500,1173,1256,1515,1742,1944,2145,151000,183000,210500,235000,259500
0.65,50830,58045,65676,72605,78390,84240,90025,95875,1270,1360,1641,1887,2106,2323,164000,198500,228000,255000,282000
0.7,54740,62510,70728,78190,84420,90720,96950,103250,1368,1465,1768,2032,2268,2502,176500,213500,246000,275000,303500
0.75,58650,66975,75780,83775,90450,97200,103875,110625,1466,1570,1894,2177,2430,2681,190000,229000,263500,294500,325000
0.8,62550,71500,80450,89400,96550,103700,110850,118000,1563,1675,2011,2324,2592,2860,202500,243500,282000,314500,347000
0.85,66470,75905,85884,94945,102510,110160,117725,125375,1661,1779,2147,2468,2754,3038,215000,260000,299500,334000,368500
0.9,70380,80370,90936,100530,108540,116640,124650,132750,1759,1884,2273,2613,2916,3217,228000,275500,317000,353500,390500
0.95,74290,84835,95988,106115,114570,123120,131575,140125,1857,1989,2399,2758,3078,3396,240500,291000,334500,373500,412000
1,78200,89300,101040,111700,120600,129600,138500,147500,1955,2093,2526,2903,3240,3575,253500,306500,352000,393000,433500
1.05,82110,93765,106092,117285,126630,136080,145425,154875,2052,2198,2652,3048,3402,3753,266000,321500,370000,412500,455500
1.1,86020,98230,111144,122870,132660,142560,152350,162250,2150,2303,2778,3194,3564,3932,279500,337000,387500,432500,477000
1.15,89930,102695,116196,128455,138690,149040,159275,169625,2248,2407,2904,3339,3726,4111,292000,352500,405000,452000,499000
1.2,93840,107160,121248,134040,144720,155520,166200,177000,2346,2512,3031,3484,3888,4290,304500,367500,422500,471500,520500
1.25,97750,111625,126300,139625,150750,162000,173125,184375,2443,2617,3157,3629,4050,4468,317500,383000,440500,491500,542000
1.3,101660,116090,131352,145210,156780,168480,180050,191750,2541,2721,3283,3774,4212,4647,330000,398500,458000,511000,564000
1.35,105570,120555,136404,150795,162810,174960,186975,199125,2639,2826,3410,3920,4374,4826,343000,413500,475500,530500,585500
1.4,109480,125020,141456,156380,168840,181440,193900,206500,2737,2931,3536,4065,4536,5005,355500,429000,493000,550500,607000
1.45,113390,129485,146508,161965,174870,187920,200825,213875,2834,3035,3662,4210,4698,5183,368000,444500,511000,570000,629000
1.5,117300,133950,151560,167550,180900,194400,207750,221250,2932,3140,3789,4355,4860,5362,381000,459500,528500,589500,650500